,X,Y,labels,district
194,30.153534,9.222023,0,1000011
195,30.153841,9.222072,0,1000011
196,30.015406,9.293956,0,1000011
197,30.153841,9.222072,0,1000011
198,30.153553,9.222026,0,1000011
199,30.153751,9.222057,0,1000011
200,30.153841,9.222072,0,1000011
201,30.153843,9.222072,0,1000011
202,30.153841,9.222072,0,1000011
203,30.153841,9.222072,0,1000011
204,30.153683,9.222133,0,1000011
205,30.15362,9.222232,0,1000011
206,30.153841,9.222072,0,1000011
207,30.153841,9.222072,0,1000011
208,-52.827984,-0.017686298,0,1000012
209,-52.803555,0.0041797925,0,1000012
210,-52.82778,-0.017528174,0,1000012
211,-52.827984,-0.017686296,0,1000012
212,-52.827984,-0.017686302,0,1000012
213,-52.827984,-0.017686311,0,1000012
214,-52.82742,-0.01724638,0,1000012
215,-52.827984,-0.01768631,0,1000012
216,-52.827984,-0.01768631,0,1000012
217,-52.827984,-0.017686302,0,1000012
218,-52.827984,-0.017686306,0,1000012
219,-52.827984,-0.01768631,0,1000012
220,-52.827984,-0.017686313,0,1000012
221,-52.827984,-0.01768631,0,1000012
222,-52.827984,-0.017686304,0,1000012
223,-52.82792,-0.01762992,0,1000012
224,-52.827984,-0.017686307,0,1000012
225,-52.827984,-0.017686322,0,1000012
226,19.647234,39.556652,0,1000013
227,19.647224,39.55672,0,1000013
228,19.64723,39.55649,0,1000013
229,19.647223,39.55664,0,1000013
230,19.647234,39.556652,0,1000013
231,19.647228,39.556408,0,1000013
232,19.647234,39.556652,0,1000013
233,19.647224,39.55625,0,1000013
234,19.647232,39.556572,0,1000013
235,19.64723,39.556572,0,1000013
236,19.647223,39.55664,0,1000013
237,19.647217,39.5564,0,1000013
238,19.647234,39.556652,0,1000013
239,19.64723,39.55649,0,1000013
240,30.424103,-10.321651,0,1000013
241,30.41944,-10.323045,0,1000013
242,70.40176,-23.774105,0,1000014
243,70.40176,-23.774105,0,1000014
244,70.40176,-23.774105,0,1000014
245,70.40176,-23.774105,0,1000014
246,70.40176,-23.774105,0,1000014
247,70.40176,-23.774105,0,1000014
248,70.40176,-23.774105,0,1000014
249,70.40176,-23.774105,0,1000014
250,16.635355,2.7674186,0,1000015
251,16.635317,2.767176,0,1000015
252,16.635294,2.7672184,0,1000015
253,16.635319,2.76748,0,1000015
254,16.63533,2.7674613,0,1000015
255,16.635355,2.7671087,0,1000015
256,16.635313,2.767099,0,1000015
257,16.635336,2.7670567,0,1000015
258,16.635336,2.7674491,0,1000015
259,16.635294,2.7672184,0,1000015
260,16.635294,2.7674098,0,1000015
261,16.63533,2.7674613,0,1000015
262,16.635336,2.7670567,0,1000015
263,16.635344,2.7670443,0,1000015
264,16.635326,2.7671576,0,1000015
265,16.63531,2.767493,0,1000015
266,16.635315,2.7670991,0,1000015
267,16.635328,2.7671523,0,1000015
268,16.635324,2.7671638,0,1000015
269,16.635324,2.7671638,0,1000015
270,16.635336,2.7670567,0,1000015
271,16.635326,2.767158,0,1000015
272,16.635319,2.7671757,0,1000015
273,16.67965,0.48852038,0,1000015
274,16.635315,2.7670991,0,1000015
275,16.635313,2.7670991,0,1000015
276,29.883266,50.37499,0,1000016
277,29.883266,50.37524,0,1000016
278,29.883272,50.375233,0,1000016
279,29.883278,50.37498,0,1000016
280,29.883287,50.374973,0,1000016
281,29.883282,50.37523,0,1000016
282,29.883286,50.374977,0,1000016
283,29.88326,50.37499,0,1000016
284,29.883259,50.375244,0,1000016
285,29.883293,50.37523,0,1000016
286,29.883268,50.37524,0,1000016
287,29.883265,50.375233,0,1000016
288,29.883259,50.3755,0,1000016
289,29.883247,50.375248,0,1000016
290,29.883295,50.375484,0,1000016
291,29.883278,50.37498,0,1000016
292,29.883293,50.37549,0,1000016
293,29.883282,50.37523,0,1000016
294,29.883274,50.37549,0,1000016
